size,unitCost,se
1,1,0.0056136380656629
2,0.817345414952844,0.0056136380656629
3,0.726383899572682,0.0056136380656629
4,0.668053527344436,0.0056136380656629
5,0.626054545338317,0.0056136380656629
6,0.593706549811299,0.0056136380656629
7,0.567664213237015,0.0056136380656629
8,0.546030487518049,0.0056136380656629
9,0.527633569558417,0.0056136380656629
10,0.511702812142661,0.0056136380656629
11,0.497706450318214,0.0056136380656629
12,0.485263326315737,0.0056136380656629
13,0.47409166144695,0.0056136380656629
14,0.463977741922087,0.0056136380656629
15,0.45475594198805,0.0056136380656629
16,0.446295515397344,0.0056136380656629
17,0.438491592177823,0.0056136380656629
18,0.431258878853774,0.0056136380656629
19,0.424527148592378,0.0056136380656629
20,0.41823794732328,0.0056136380656629
21,0.412342144858961,0.0056136380656629
22,0.406798085160048,0.0056136380656629
23,0.401570169137315,0.0056136380656629
24,0.396627754808934,0.0056136380656629
25,0.391944293738767,0.0056136380656629
26,0.387496645751041,0.0056136380656629
27,0.383264529801297,0.0056136380656629
28,0.379230080000192,0.0056136380656629
29,0.375377483683287,0.0056136380656629
30,0.371692684106494,0.0056136380656629
31,0.368163134493837,0.0056136380656629
32,0.364777593224035,0.0056136380656629
33,0.361525952224622,0.0056136380656629
34,0.358399092361916,0.0056136380656629
35,0.355388760922933,0.0056136380656629
36,0.352487467288836,0.0056136380656629
37,0.349688393675872,0.0056136380656629
38,0.346985318424984,0.0056136380656629
39,0.344372549796728,0.0056136380656629
40,0.341844868603972,0.0056136380656629
41,0.339397478314136,0.0056136380656629
42,0.337025961492293,0.0056136380656629
43,0.334726241649515,0.0056136380656629
44,0.332494549717161,0.0056136380656629
45,0.330327394495128,0.0056136380656629
46,0.328221536526222,0.0056136380656629
47,0.326173964934499,0.0056136380656629
48,0.324181876836123,0.0056136380656629
49,0.322242658989999,0.0056136380656629
50,0.320353871404312,0.0056136380656629
